0,56.1,-37.4,21.59
1,111.79,-87.27,29.7
2,86.23,-14.96,35.57
3,66.49,14.54,29.37
4,115.32,-31.17,40.71
5,86.23,14.96,34.89
6,190.13,-120.31,78.2
7,181.82,-55.06,75.2
8,162.7,-5.4,75.22
9,139.22,24.52,55.91
10,268.05,-191.58,68.6
11,241.45,-103.27,67.3
12,225.87,-24.93,111.5
13,188.68,55.27,60.5
14,160,100.15,36
15,375.06,-176.62,144.1
16,319.58,-88.73,115.6
17,278.03,-42.18,101.4
18,235.64,44.05,83.8
19,237.51,125.3,40.3
20,446.34,-124.05,155.2
21,386.49,-93.51,141.8
22,365.71,-44.88,138.3
23,343.9,3.12,108.9
24,287.17,16.83,85.2
25,256.42,73.35,61.4
26,268.68,116.57,41.7
27,488.73,-82.7,150.9
28,464,-34.7,172.2
29,408.73,8.31,144.6
30,360,49.87,105.6
31,323.53,79.58,83.8
32,299.22,162.7,39
33,581.19,-78.96,166
34,538.18,-49.25,159.7
35,512.42,6.44,143.6
36,465.87,35.12,144.9
37,423.48,88.52,110.4
38,340,115.32,65
39,551.48,70.03,111.8
40,490.6,91.64,130.9
41,469.19,151.48,112.2
42,469.61,188.68,98.6
43,362.6,162.7,58.1
44,538.18,0,136.49
45,570.18,7.27,120
46,520,-162,172
47,623,0,120
48,623,100,100
49,623,-100,140
50,24.93,47.79,10.55
51,98.7,69.61,25.68
52,232.73,-154.18,47.1
53,158.34,-191.17,49.3
54,192.21,-211.95,33
55,966,100,30
56,966,-100,50
57,626,320,50
58,329,480,25
59,118,513,25
60,0,353,10
61,61,174,10
62,214,290,100
63,360,240,100
64,725,-263,120
65,616,-320,140
66,273,-334,33
67,706,-522,125
68,833,-381,106
69,965,-287,60
